,idstazione,idsensore,codice,descrizione,data_e_ora
0,573,5876,1,no IRIS,2018-02-28 08:53
1,857,8004,2,no IRIS& no REMWS & no GPRS,2018-02-28 08:53
2,1807,32353,2,no IRIS& no REMWS,2018-02-28 08:53
3,100,2006,2,no IRIS& no REMWS,2018-02-28 08:53
4,102,2046,2,no IRIS& no REMWS,2018-02-28 08:53
5,106,2089,2,no IRIS& no REMWS,2018-02-28 08:53
6,107,2103,2,no IRIS& no REMWS,2018-02-28 08:53
7,108,2116,2,no IRIS& no REMWS,2018-02-28 08:53
8,109,2129,2,no IRIS& no REMWS,2018-02-28 08:53
9,110,2140,2,no IRIS& no REMWS,2018-02-28 08:53
10,111,2152,2,no IRIS& no REMWS,2018-02-28 08:53
11,114,2195,2,no IRIS& no REMWS,2018-02-28 08:53
12,117,2251,2,no IRIS& no REMWS,2018-02-28 08:53
13,119,2278,2,no IRIS& no REMWS,2018-02-28 08:53
14,123,2336,2,no IRIS& no REMWS,2018-02-28 08:53
15,125,2368,2,no IRIS& no REMWS,2018-02-28 08:53
16,127,2385,2,no IRIS& no REMWS,2018-02-28 08:53
17,129,2408,2,no IRIS& no REMWS,2018-02-28 08:53
18,130,2417,2,no IRIS& no REMWS,2018-02-28 08:53
19,132,2441,2,no IRIS& no REMWS,2018-02-28 08:53
20,133,2452,2,no IRIS& no REMWS,2018-02-28 08:53
21,134,2465,2,no IRIS& no REMWS,2018-02-28 08:53
22,136,2492,2,no IRIS& no REMWS,2018-02-28 08:53
23,137,2502,2,no IRIS& no REMWS,2018-02-28 08:53
24,139,2535,2,no IRIS& no REMWS,2018-02-28 08:53
25,212,2614,2,no IRIS& no REMWS & no GPRS,2018-02-28 08:53
26,214,2626,2,no IRIS& no REMWS,2018-02-28 08:53
27,552,5946,1,no IRIS,2018-02-28 08:53
28,140,4008,2,no IRIS& no REMWS,2018-02-28 08:53
29,141,4016,2,no IRIS& no REMWS,2018-02-28 08:53
30,142,4025,2,no IRIS& no REMWS,2018-02-28 08:53
31,143,4033,2,no IRIS& no REMWS,2018-02-28 08:53
32,144,4041,2,no IRIS& no REMWS,2018-02-28 08:53
33,145,4049,2,no IRIS& no REMWS,2018-02-28 08:53
34,146,4057,2,no IRIS& no REMWS,2018-02-28 08:53
35,147,4065,2,no IRIS& no REMWS,2018-02-28 08:53
36,150,4089,2,no IRIS& no REMWS,2018-02-28 08:53
37,148,4112,2,no IRIS& no REMWS,2018-02-28 08:53
38,166,5128,2,no IRIS& no REMWS,2018-02-28 08:53
39,595,5856,2,no IRIS& no REMWS,2018-02-28 08:53
40,594,5857,1,no IRIS,2018-02-28 08:53
41,596,5858,1,no IRIS,2018-02-28 08:53
42,586,5861,1,no IRIS,2018-02-28 08:53
43,595,5863,2,no IRIS& no REMWS,2018-02-28 08:53
44,564,5870,1,no IRIS,2018-02-28 08:53
45,573,5877,2,no IRIS& no REMWS,2018-02-28 08:53
46,575,5882,1,no IRIS,2018-02-28 08:53
47,598,5890,2,no IRIS& no REMWS,2018-02-28 08:53
48,530,5894,1,no IRIS,2018-02-28 08:53
49,512,5900,1,no IRIS,2018-02-28 08:53
50,525,5902,1,no IRIS,2018-02-28 08:53
51,502,5908,1,no IRIS,2018-02-28 08:53
52,614,5916,1,no IRIS,2018-02-28 08:53
53,513,5918,2,no IRIS& no REMWS,2018-02-28 08:53
54,513,5919,2,no IRIS& no REMWS,2018-02-28 08:53
55,558,5933,1,no IRIS,2018-02-28 08:53
56,555,5934,1,no IRIS,2018-02-28 08:53
57,557,5938,1,no IRIS,2018-02-28 08:53
58,559,5940,1,no IRIS,2018-02-28 08:53
59,513,6060,2,no IRIS& no REMWS,2018-02-28 08:53
60,513,6137,2,no IRIS& no REMWS,2018-02-28 08:53
61,595,6157,2,no IRIS& no REMWS,2018-02-28 08:53
62,573,6164,2,no IRIS& no REMWS,2018-02-28 08:53
63,598,6170,2,no IRIS& no REMWS,2018-02-28 08:53
64,513,6184,2,no IRIS& no REMWS,2018-02-28 08:53
65,595,6430,2,no IRIS& no REMWS,2018-02-28 08:53
66,573,6586,2,no IRIS& no REMWS,2018-02-28 08:53
67,513,6598,2,no IRIS& no REMWS,2018-02-28 08:53
68,642,6694,1,no IRIS,2018-02-28 08:53
69,653,6792,1,no IRIS,2018-02-28 08:53
70,656,6819,1,no IRIS,2018-02-28 08:53
71,659,6846,1,no IRIS,2018-02-28 08:53
72,667,6892,1,no IRIS,2018-02-28 08:53
73,679,6986,2,no IRIS& no REMWS,2018-02-28 08:53
74,679,6987,2,no IRIS& no REMWS,2018-02-28 08:53
75,679,6989,2,no IRIS& no REMWS,2018-02-28 08:53
76,679,6990,2,no IRIS& no REMWS,2018-02-28 08:53
77,679,6992,2,no IRIS& no REMWS,2018-02-28 08:53
78,679,6994,2,no IRIS& no REMWS,2018-02-28 08:53
79,679,6995,2,no IRIS& no REMWS,2018-02-28 08:53
80,686,7010,2,no IRIS& no REMWS,2018-02-28 08:53
81,686,7015,2,no IRIS& no REMWS,2018-02-28 08:53
82,695,7042,2,no IRIS& no REMWS,2018-02-28 08:53
83,695,7043,2,no IRIS& no REMWS,2018-02-28 08:53
84,695,7044,2,no IRIS& no REMWS,2018-02-28 08:53
85,695,7045,2,no IRIS& no REMWS,2018-02-28 08:53
86,695,7046,2,no IRIS& no REMWS,2018-02-28 08:53
87,695,7047,2,no IRIS& no REMWS,2018-02-28 08:53
88,695,7048,2,no IRIS& no REMWS,2018-02-28 08:53
89,855,8001,2,no IRIS& no REMWS,2018-02-28 08:53
90,855,8002,2,no IRIS& no REMWS,2018-02-28 08:53
91,856,8006,2,no IRIS& no REMWS,2018-02-28 08:53
92,835,8010,2,no IRIS& no REMWS,2018-02-28 08:53
93,833,8015,2,no IRIS& no REMWS,2018-02-28 08:53
94,836,8018,2,no IRIS& no REMWS,2018-02-28 08:53
95,846,8021,2,no IRIS& no REMWS & no GPRS,2018-02-28 08:53
96,847,8025,2,no IRIS& no REMWS & no GPRS,2018-02-28 08:53
97,848,8029,2,no IRIS& no REMWS,2018-02-28 08:53
98,832,8094,2,no IRIS& no REMWS,2018-02-28 08:53
99,912,8095,2,no IRIS& no REMWS,2018-02-28 08:53
100,822,8097,2,no IRIS& no REMWS,2018-02-28 08:53
